player_id,game_id,fgm,fga,pts
203895,21900504,4,12,15
203920,21900504,3,3,7
1627780,21900504,2,5,4
1628365,21900504,6,12,16
1628371,21900504,1,2,2
1628394,21900504,2,8,4
1628411,21900504,4,7,10
1628518,21900504,0,1,2
1628964,21900504,3,6,7
1628972,21900504,5,12,14
1628982,21900504,0,2,0
1629067,21900504,1,1,4
1629140,21900504,1,1,2
1629620,21900504,0,1,0
1629678,21900504,0,1,0
1629726,21900504,2,4,10
200768,21900510,4,16,15
201586,21900510,9,21,19
201609,21900510,5,13,13
202710,21900510,2,10,8
203086,21900510,3,7,8
1626169,21900510,0,1,0
1626178,21900510,4,8,13
1627775,21900510,1,8,3
1627832,21900510,3,16,7
1627884,21900510,4,13,10
1628384,21900510,5,12,12
1628389,21900510,7,8,15
1628449,21900510,1,1,2
1629056,21900510,1,6,5
1629130,21900510,2,4,6
1629134,21900510,3,14,7
1629639,21900510,5,10,13
1629735,21900510,2,2,4
201565,21900532,10,16,22
202692,21900532,5,13,27
203083,21900532,7,14,14
203110,21900532,0,2,2
203503,21900532,2,3,6
203922,21900532,1,11,4
204025,21900532,4,5,8
204038,21900532,2,6,6
1626161,21900532,2,5,5
1626174,21900532,2,6,9
1627737,21900532,3,6,8
1627748,21900532,0,0,2
1627814,21900532,5,12,14
1628971,21900532,6,11,14
1628980,21900532,2,5,6
1629004,21900532,4,12,14
1629016,21900532,8,11,23
1629065,21900532,1,5,2
1629635,21900532,6,10,16
1629672,21900532,4,7,9
1629673,21900532,2,5,4
101150,21900534,9,18,32
201959,21900534,4,6,11
201976,21900534,3,7,6
202331,21900534,9,14,32
202335,21900534,2,5,6
202694,21900534,13,19,38
203090,21900534,1,4,2
203210,21900534,4,7,11
203493,21900534,4,5,9
203585,21900534,1,2,3
203944,21900534,6,14,16
1626149,21900534,13,21,34
1626171,21900534,2,6,8
1627826,21900534,2,3,4
1628373,21900534,3,7,7
1628443,21900534,4,9,9
1628995,21900534,1,2,2
1629011,21900534,4,5,8
1629013,21900534,1,2,5
1629628,21900534,7,11,24
2594,21900546,0,4,1
101141,21900546,1,2,3
200746,21900546,5,10,17
200752,21900546,6,10,17
201572,21900546,3,6,8
201577,21900546,1,6,2
201588,21900546,6,11,15
201942,21900546,11,15,25
201960,21900546,0,1,0
201988,21900546,6,10,21
202083,21900546,4,7,12
202339,21900546,2,7,8
203114,21900546,5,16,15
203507,21900546,10,22,24
1626168,21900546,2,11,6
1627749,21900546,5,11,13
1627751,21900546,1,1,2
1627854,21900546,2,6,6
1628391,21900546,0,1,0
1628401,21900546,3,6,9
1628425,21900546,0,1,0
1628978,21900546,6,12,16
1629002,21900546,1,1,2
1629022,21900546,3,6,8
201565,21900548,9,21,24
201567,21900548,12,15,30
202684,21900548,3,7,8
202688,21900548,5,9,13
203083,21900548,8,12,23
203503,21900548,7,10,18
203521,21900548,1,3,3
204038,21900548,1,5,3
1626174,21900548,2,7,6
1626224,21900548,7,16,17
1627748,21900548,2,4,5
1627790,21900548,2,3,5
1628971,21900548,3,11,9
1629004,21900548,4,12,12
1629012,21900548,7,19,20
1629635,21900548,6,9,15
1629636,21900548,4,12,14
1629731,21900548,1,1,3
201959,21900561,2,5,4
201961,21900561,4,6,11
202334,21900561,0,1,1
202711,21900561,7,14,20
203493,21900561,4,9,9
203497,21900561,5,5,16
203901,21900561,6,13,13
203903,21900561,5,13,11
204060,21900561,4,10,11
1626144,21900561,8,12,20
1626171,21900561,5,17,13
1626220,21900561,3,5,8
1627777,21900561,4,9,11
1628373,21900561,6,10,16
1628378,21900561,6,11,16
1628396,21900561,6,7,12
1628422,21900561,5,9,11
1628430,21900561,1,2,2
1628443,21900561,1,2,2
1628995,21900561,2,10,6
1629011,21900561,3,4,6
1629628,21900561,3,10,10
1629649,21900561,1,2,3
1629730,21900561,0,1,0
202330,21900578,8,11,19
202683,21900578,10,13,22
202689,21900578,6,12,17
202734,21900578,4,12,10
202954,21900578,2,5,4
203935,21900578,1,4,4
1626143,21900578,3,4,8
1627742,21900578,4,15,16
1627759,21900578,4,15,13
1628366,21900578,4,12,10
1628369,21900578,16,22,41
1628400,21900578,2,3,5
1628402,21900578,9,18,22
1628404,21900578,3,12,7
1628464,21900578,3,7,6
1629035,21900578,1,5,2
1629637,21900578,9,13,20
1629638,21900578,2,10,5
1629740,21900578,2,4,7
1629750,21900578,2,3,7
201609,21900584,3,7,6
201949,21900584,6,7,19
201959,21900584,5,6,14
202710,21900584,8,15,25
203086,21900584,2,3,7
203493,21900584,6,16,16
203901,21900584,5,11,10
203944,21900584,10,22,26
1626171,21900584,1,2,4
1627884,21900584,1,2,3
1628389,21900584,5,7,15
1628422,21900584,1,7,2
1628443,21900584,4,7,10
1628995,21900584,6,8,17
1629011,21900584,1,1,2
1629130,21900584,3,10,11
1629134,21900584,9,15,20
1629628,21900584,7,10,23
1629639,21900584,5,12,15
2772,21900612,1,3,3
202357,21900612,5,12,11
202709,21900612,3,6,7
203084,21900612,10,18,25
203501,21900612,7,15,18
203552,21900612,7,11,21
203939,21900612,8,10,17
1626153,21900612,4,7,8
1627741,21900612,10,23,25
1627812,21900612,3,5,9
1627827,21900612,4,8,15
1628368,21900612,11,17,27
1628382,21900612,3,9,7
1628385,21900612,2,3,4
1628467,21900612,5,9,14
1628963,21900612,5,9,12
1628973,21900612,1,5,2
1629029,21900612,8,18,25
201609,21900644,7,16,18
201949,21900644,9,11,22
202357,21900644,8,13,22
202709,21900644,2,3,4
203084,21900644,3,11,11
203086,21900644,3,6,7
203473,21900644,2,5,6
203482,21900644,2,4,5
