name,dist,value,made,desc,team,opp,x,y,player_id,event_id,zone,area,date,team,opp,running,jump,hook,layup,driving,dunk,alley,reverse,turnaround,fadeaway,bank,finger,putback,float,pullup,step,cutting,tip,game_id,date,period,min_left,sec_left
J. Green,24,3,True,Jump Shot,LAC,LAL,-216,109,203210,171,24+ ft.,Left Side Center(LC),20191022,LAC,LAL,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0021900002,20191022,1,0,20
P. Beverley,25,3,False,Jump Shot,LAC,LAL,-130,225,201976,178,24+ ft.,Left Side Center(LC),20191022,LAC,LAL,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0021900002,20191022,2,11,43
K. Leonard,15,2,True,Pullup Jump shot,LAC,LAL,-49,150,202695,182,8-16 ft.,Center(C),20191022,LAC,LAL,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0021900002,20191022,2,11,25
K. Caldwell-Pope,26,3,False,Jump Shot,LAC,LAL,-164,214,203484,183,24+ ft.,Left Side Center(LC),20191022,LAC,LAL,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0021900002,20191022,2,11,13
K. Leonard,23,3,True,Jump Shot,LAC,LAL,-232,8,202695,185,24+ ft.,Left Side(L),20191022,LAC,LAL,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0021900002,20191022,2,11,2
L. James,29,3,True,Jump Shot,LAC,LAL,220,190,2544,187,24+ ft.,Right Side Center(RC),20191022,LAC,LAL,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0021900002,20191022,2,10,48
J. Dudley,24,3,True,Jump Shot,LAC,LAL,242,18,201162,190,24+ ft.,Right Side(R),20191022,LAC,LAL,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0021900002,20191022,2,10,19
T. Daniels,26,3,False,Running Pull-Up Jump Shot,LAC,LAL,-110,241,203584,194,24+ ft.,Left Side Center(LC),20191022,LAC,LAL,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0021900002,20191022,2,10,1
M. Harkless,1,2,True,Running Dunk Shot,LAC,LAL,12,14,203090,202,Less Than 8 ft.,Center(C),20191022,LAC,LAL,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,0021900002,20191022,2,9,50
L. James,7,2,False,Fadeaway Jump Shot,LAC,LAL,-77,17,2544,203,Less Than 8 ft.,Center(C),20191022,LAC,LAL,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0021900002,20191022,2,9,33
