player_id,game_id,pos,fgm,fga,pts,oreb,dreb,stl,blk
1627826,21901258,Center,7,9,18,4,8,0,1
1629028,21901258,Center,9,18,19,3,4,0,0
202683,21901260,Center,5,6,10,5,0,0,0
1628389,21901260,Center,5,12,21,3,9,1,1
202355,21901261,Center,4,5,9,1,6,0,1
203994,21901261,Center,6,15,18,6,13,1,3
202685,21901262,Center,8,17,21,4,10,0,0
203476,21901262,Center,1,4,2,0,0,0,1
203497,21901262,Center,5,9,21,5,11,2,3
1628396,21901262,Center,2,2,4,2,1,0,0
201143,21901263,Center,1,3,2,0,10,0,0
203954,21901263,Center,11,20,29,1,10,3,2
1628394,21901263,Center,0,0,0,0,2,0,0
1628418,21901263,Center,8,17,19,4,6,2,4
203999,21901264,Center,10,17,25,3,1,1,0
1627751,21901264,Center,1,5,2,3,4,0,0
201580,21901265,Center,3,4,6,1,5,0,1
203457,21901265,Center,0,1,0,0,4,2,1
203500,21901265,Center,7,10,18,1,6,0,0
201572,21901269,Center,4,9,17,1,3,2,2
1628389,21901269,Center,2,10,6,1,4,1,0
1626167,21901270,Center,7,12,17,3,5,1,3
1629028,21901270,Center,11,18,23,3,7,2,4
1629048,21901270,Center,1,4,3,0,1,0,1
1626246,21901271,Center,1,2,2,0,4,0,1
1627826,21901271,Center,10,10,21,6,9,0,1
202355,21901272,Center,1,5,2,2,1,0,2
203994,21901272,Center,9,20,22,4,3,1,2
203999,21901272,Center,3,8,8,3,2,0,0
1629626,21901272,Center,4,7,9,1,4,1,1
2730,21901273,Center,2,4,8,4,11,1,0
202334,21901274,Center,0,2,0,0,2,0,0
1627751,21901274,Center,9,12,19,4,6,0,3
1628396,21901274,Center,7,9,15,2,9,1,3
1628418,21901278,Center,9,18,22,4,4,2,2
1629637,21901278,Center,2,2,6,2,1,0,0
203994,21901280,Center,3,8,10,2,11,2,0
1627826,21901280,Center,2,5,9,6,6,0,0
2730,21901282,Center,3,5,10,3,9,1,1
201580,21901282,Center,2,3,5,2,2,2,0
1626167,21901282,Center,2,8,7,1,2,1,1
1629048,21901282,Center,3,4,7,1,1,1,1
1628418,21901285,Center,2,8,9,2,3,0,2
1627751,21901287,Center,2,4,4,5,9,2,0
1629637,21901287,Center,2,2,6,0,3,1,0
202683,21901288,Center,1,4,4,4,4,0,0
202696,21901288,Center,11,27,26,2,9,0,0
203920,21901288,Center,0,0,4,3,2,0,0
1629057,21901288,Center,4,5,8,2,1,1,1
201143,21901289,Center,6,9,15,0,6,0,1
203124,21901289,Center,0,2,0,0,2,0,0
203658,21901289,Center,0,1,1,0,2,1,1
203954,21901289,Center,1,6,2,2,2,0,0
203994,21901289,Center,5,9,15,1,5,0,3
1627826,21901291,Center,4,8,8,5,10,0,1
1628386,21901291,Center,7,9,16,4,12,1,2
1629028,21901292,Center,5,10,10,3,3,0,0
202334,21901293,Center,3,4,7,2,0,1,0
203497,21901293,Center,3,5,9,2,3,0,1
1626246,21901293,Center,7,11,20,1,8,1,2
1628396,21901293,Center,2,2,5,2,3,0,1
1626167,21901295,Center,3,7,9,0,7,0,2
1628389,21901295,Center,4,10,10,2,7,0,3
1629048,21901295,Center,1,2,2,0,1,0,0
202696,21901297,Center,5,15,12,1,9,1,0
203920,21901297,Center,4,7,12,4,5,2,0
1629743,21901297,Center,5,7,10,3,6,1,2
1627751,21901298,Center,6,7,14,3,9,1,1
203124,21901299,Center,4,6,9,1,9,2,1
203658,21901299,Center,2,4,4,3,2,0,2
1629028,21901299,Center,4,10,8,3,9,0,0
201572,21901303,Center,9,11,24,1,2,0,0
201577,21901303,Center,3,6,8,1,3,0,0
1628394,21901303,Center,4,9,10,3,3,1,0
1628418,21901303,Center,5,9,13,3,5,0,1
1626167,21901304,Center,5,14,18,7,5,1,1
1629048,21901304,Center,2,6,4,1,2,2,1
203457,21901306,Center,1,1,2,3,4,0,0
203500,21901306,Center,4,7,8,2,6,1,0
1628389,21901306,Center,3,5,6,0,2,0,0
202355,21901309,Center,5,6,16,5,4,1,2
